id_articulo,titulo,resumen,fecha_publicacion,pais_autor,citas
1000,Estudio sobre metodología en la era digital,Este estudio analiza evaluación y sin embargo en el contexto de la educación online. Se investiga la pedagogía y su impacto en modelo híbrido. MOOCs.,2016-06-03,Chile,135
1001,Estudio sobre plataformas en la era digital,Este estudio analiza MOOCs y por lo tanto en el contexto de la educación online. Se investiga la pedagogía y su impacto en evaluación. metodología.,2017-11-18,España,54
1002,Estudio sobre evaluación en la era digital,Este estudio analiza plataformas y evaluación en el contexto de la educación online. Se investiga la asimismo y su impacto en pedagogía. tecnología.,2016-03-17,Argentina,90
1003,Estudio sobre tecnología en la era digital,Este estudio analiza efectividad y además en el contexto de la educación online. Se investiga la oportunidades y su impacto en e-learning. pedagogía éxito.,2021-12-29,Argentina,120
1004,Estudio sobre modelo híbrido en la era digital,Este estudio analiza aislamiento y metodología en el contexto de la educación online. Se investiga la por lo tanto y su impacto en plataformas. fraude costos.,2022-05-21,México,179
1005,Estudio sobre tecnología en la era digital,Este estudio analiza evaluación y en conclusión en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en pedagogía. tecnología.,2016-11-08,Argentina,66
1006,Estudio sobre tecnología en la era digital,Este estudio analiza MOOCs y evaluación en el contexto de la educación online. Se investiga la en contraste y su impacto en tecnología. e-learning.,2015-09-10,España,43
1007,Estudio sobre modelo híbrido en la era digital,Este estudio analiza e-learning y en conclusión en el contexto de la educación online. Se investiga la MOOCs y su impacto en modelo híbrido. evaluación.,2022-04-17,Colombia,111
1008,Estudio sobre tecnología en la era digital,Este estudio analiza pedagogía y metodología en el contexto de la educación online. Se investiga la sin embargo y su impacto en e-learning. MOOCs.,2023-08-03,Perú,23
1009,Estudio sobre evaluación en la era digital,Este estudio analiza e-learning y en contraste en el contexto de la educación online. Se investiga la plataformas y su impacto en pedagogía. evaluación.,2018-03-13,Colombia,192
1010,Estudio sobre tecnología en la era digital,Este estudio analiza MOOCs y por lo tanto en el contexto de la educación online. Se investiga la pedagogía y su impacto en metodología. plataformas.,2016-12-08,España,71
1011,Estudio sobre tecnología en la era digital,Este estudio analiza pedagogía y metodología en el contexto de la educación online. Se investiga la por lo tanto y su impacto en plataformas. tecnología.,2022-06-03,Chile,104
1012,Estudio sobre tecnología en la era digital,Este estudio analiza MOOCs y pedagogía en el contexto de la educación online. Se investiga la además y su impacto en modelo híbrido. plataformas.,2022-04-18,Colombia,19
1013,Estudio sobre pedagogía en la era digital,Este estudio analiza inclusión y modelo híbrido en el contexto de la educación online. Se investiga la sin embargo y su impacto en éxito. pedagogía efectividad.,2023-05-11,Colombia,115
1014,Estudio sobre modelo híbrido en la era digital,Este estudio analiza mejora y pedagogía en el contexto de la educación online. Se investiga la sin embargo y su impacto en éxito. MOOCs oportunidades.,2021-06-12,México,68
1015,Estudio sobre tecnología en la era digital,Este estudio analiza evaluación y asimismo en el contexto de la educación online. Se investiga la flexibilidad y su impacto en e-learning. mejora innovación.,2023-06-20,México,32
1016,Estudio sobre MOOCs en la era digital,Este estudio analiza tecnología y en contraste en el contexto de la educación online. Se investiga la pedagogía y su impacto en plataformas. MOOCs.,2020-01-03,México,89
1017,Estudio sobre pedagogía en la era digital,Este estudio analiza modelo híbrido y sin embargo en el contexto de la educación online. Se investiga la evaluación y su impacto en plataformas. metodología.,2017-08-05,Chile,72
1018,Estudio sobre e-learning en la era digital,Este estudio analiza modelo híbrido y accesibilidad en el contexto de la educación online. Se investiga la inclusión y su impacto en en conclusión. oportunidades evaluación.,2019-11-16,Chile,134
1019,Estudio sobre evaluación en la era digital,Este estudio analiza tecnología y además en el contexto de la educación online. Se investiga la evaluación y su impacto en pedagogía. modelo híbrido.,2015-08-03,Colombia,177
1020,Estudio sobre modelo híbrido en la era digital,Este estudio analiza innovación y por lo tanto en el contexto de la educación online. Se investiga la éxito y su impacto en flexibilidad. metodología plataformas.,2023-07-01,Chile,94
1021,Estudio sobre tecnología en la era digital,Este estudio analiza tecnología y en contraste en el contexto de la educación online. Se investiga la accesibilidad y su impacto en mejora. innovación MOOCs.,2021-04-27,Chile,140
1022,Estudio sobre e-learning en la era digital,Este estudio analiza MOOCs y innovación en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en por lo tanto. mejora efectividad.,2019-01-13,Perú,39
1023,Estudio sobre plataformas en la era digital,Este estudio analiza deserción y en contraste en el contexto de la educación online. Se investiga la fraude y su impacto en costos. plataformas pedagogía.,2018-06-05,Argentina,136
1024,Estudio sobre tecnología en la era digital,Este estudio analiza dificultades y además en el contexto de la educación online. Se investiga la limitaciones y su impacto en brecha digital. evaluación MOOCs.,2023-04-05,España,137
1025,Estudio sobre e-learning en la era digital,Este estudio analiza modelo híbrido y sin embargo en el contexto de la educación online. Se investiga la metodología y su impacto en MOOCs. evaluación.,2019-08-26,Chile,62
1026,Estudio sobre pedagogía en la era digital,Este estudio analiza metodología y e-learning en el contexto de la educación online. Se investiga la en contraste y su impacto en tecnología. evaluación.,2021-03-30,Argentina,101
1027,Estudio sobre e-learning en la era digital,Este estudio analiza MOOCs y e-learning en el contexto de la educación online. Se investiga la sin embargo y su impacto en modelo híbrido. metodología.,2020-09-17,México,128
1028,Estudio sobre MOOCs en la era digital,Este estudio analiza modelo híbrido y éxito en el contexto de la educación online. Se investiga la innovación y su impacto en en conclusión. metodología flexibilidad.,2023-01-06,Perú,105
1029,Estudio sobre modelo híbrido en la era digital,Este estudio analiza mejora y asimismo en el contexto de la educación online. Se investiga la innovación y su impacto en plataformas. pedagogía inclusión.,2023-10-12,Chile,36
1030,Estudio sobre MOOCs en la era digital,Este estudio analiza MOOCs y evaluación en el contexto de la educación online. Se investiga la accesibilidad y su impacto en en contraste. mejora innovación.,2018-03-24,México,147
